frequency,weight,count,label
2,6.25,32,0
2,6.25,32,0
2,6.25,32,0
3,9.375,32,0
2,6.25,32,0
34,25.563909774436087,133,1
2,14.285714285714285,14,1
3,12.0,25,1
3,12.0,25,1
2,8.0,25,0
2,15.384615384615385,13,1
6,26.08695652173913,23,1
2,8.0,25,0
3,12.0,25,1
4,40.0,10,1
2,11.76470588235294,17,1
2,33.33333333333333,6,1
2,11.76470588235294,17,1
6,33.33333333333333,18,1
2,3.125,64,0
2,3.125,64,0
5,7.8125,64,0
2,28.57142857142857,7,1
3,4.6875,64,0
2,3.125,64,0
2,6.451612903225806,31,0
3,37.5,8,1
2,11.11111111111111,18,1
2,20.0,10,1
3,9.375,32,0
2,6.25,32,0
3,6.521739130434782,46,0
2,4.3478260869565215,46,0
3,6.666666666666667,45,0
2,4.444444444444445,45,0
3,6.521739130434782,46,0
2,4.444444444444445,45,0
2,4.444444444444445,45,0
4,8.88888888888889,45,0
2,6.451612903225806,31,0
2,10.526315789473683,19,1
4,8.88888888888889,45,0
2,28.57142857142857,7,1
4,16.666666666666664,24,1
2,2.631578947368421,76,0
10,13.157894736842104,76,1
10,13.157894736842104,76,1
10,13.157894736842104,76,1
8,10.526315789473683,76,1
7,9.210526315789473,76,0
3,3.9473684210526314,76,0
3,12.5,24,1
6,22.22222222222222,27,1
2,8.333333333333332,24,0
2,7.4074074074074066,27,0
2,8.333333333333332,24,0
4,14.814814814814813,27,1
2,11.76470588235294,17,1
5,14.285714285714285,35,1
5,14.285714285714285,35,1
5,14.285714285714285,35,1
6,17.142857142857142,35,1
4,13.333333333333334,30,1
2,5.0,40,0
4,10.0,40,1
6,7.142857142857142,84,0
4,4.761904761904762,84,0
2,8.695652173913043,23,0
3,9.090909090909092,33,0
2,6.0606060606060606,33,0
2,2.380952380952381,84,0
2,11.11111111111111,18,1
2,4.761904761904762,42,0
2,4.761904761904762,42,0
2,3.278688524590164,61,0
2,3.278688524590164,61,0
3,4.918032786885246,61,0
2,3.278688524590164,61,0
5,8.19672131147541,61,0
2,3.278688524590164,61,0
2,4.545454545454546,44,0
2,4.545454545454546,44,0
2,3.278688524590164,61,0
3,11.11111111111111,27,1
2,2.0408163265306123,98,0
3,15.0,20,1
2,14.285714285714285,14,1
2,12.5,16,1
3,18.75,16,1
2,7.6923076923076925,26,0
3,60.0,5,1
2,11.11111111111111,18,1
4,22.22222222222222,18,1
7,5.343511450381679,131,0
36,27.480916030534353,131,1
2,13.333333333333334,15,1
4,3.0534351145038165,131,0
2,13.333333333333334,15,1
4,4.3478260869565215,92,0
2,2.1739130434782608,92,0
5,5.434782608695652,92,0
5,5.434782608695652,92,0
4,3.0534351145038165,131,0
3,21.428571428571427,14,1
2,2.1739130434782608,92,0
2,50.0,4,1
2,13.333333333333334,15,1
2,7.4074074074074066,27,0
2,7.4074074074074066,27,0
2,1.5267175572519083,131,0
2,7.4074074074074066,27,0
3,25.0,12,1
2,7.4074074074074066,27,0
2,33.33333333333333,6,1
2,11.76470588235294,17,1
5,7.8125,64,0
5,7.8125,64,0
3,4.6875,64,0
3,4.6875,64,0
3,4.6875,64,0
3,4.6875,64,0
7,10.9375,64,1
2,1.5267175572519083,131,0
3,4.6875,64,0
4,5.263157894736842,76,0
2,2.631578947368421,76,0
2,2.631578947368421,76,0
3,3.9473684210526314,76,0
5,6.578947368421052,76,0
2,2.631578947368421,76,0
2,2.631578947368421,76,0
2,2.631578947368421,76,0
2,11.76470588235294,17,1
2,10.526315789473683,19,1
3,4.6875,64,0
2,3.125,64,0
4,12.903225806451612,31,1
2,6.451612903225806,31,0
5,8.064516129032258,62,0
2,3.225806451612903,62,0
3,4.838709677419355,62,0
2,3.225806451612903,62,0
2,3.225806451612903,62,0
4,6.451612903225806,62,0
3,9.67741935483871,31,0
3,9.67741935483871,31,0
3,9.67741935483871,31,0
6,9.836065573770492,61,0
3,4.838709677419355,62,0
2,6.451612903225806,31,0
3,9.67741935483871,31,0
2,2.631578947368421,76,0
6,7.894736842105263,76,0
3,3.9473684210526314,76,0
2,2.631578947368421,76,0
2,2.631578947368421,76,0
19,25.0,76,1
2,2.631578947368421,76,0
2,2.631578947368421,76,0
2,15.384615384615385,13,1
2,15.384615384615385,13,1
3,9.090909090909092,33,0
2,6.0606060606060606,33,0
2,15.384615384615385,13,1
2,6.0606060606060606,33,0
3,4.838709677419355,62,0
4,6.451612903225806,62,0
2,6.0606060606060606,33,0
8,36.36363636363637,22,1
4,12.121212121212121,33,1
4,12.121212121212121,33,1
5,8.064516129032258,62,0
3,12.0,25,1
2,11.76470588235294,17,1
2,7.6923076923076925,26,0
4,15.384615384615385,26,1
4,15.384615384615385,26,1
12,13.793103448275861,87,1
12,13.793103448275861,87,1
12,13.793103448275861,87,1
12,13.793103448275861,87,1
5,5.747126436781609,87,0
3,5.357142857142857,56,0
2,6.25,32,0
6,18.75,32,1
4,12.5,32,1
2,5.0,40,0
2,10.526315789473683,19,1
2,10.526315789473683,19,1
2,9.523809523809524,21,0
2,9.523809523809524,21,0
2,7.4074074074074066,27,0
8,29.629629629629626,27,1
7,17.94871794871795,39,1
2,16.666666666666664,12,1
2,16.666666666666664,12,1
3,25.0,12,1
2,9.090909090909092,22,0
4,18.181818181818183,22,1
5,14.285714285714285,35,1
3,21.428571428571427,14,1
2,5.714285714285714,35,0
2,3.389830508474576,59,0
